Unnamed: 0,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
2,6646983,0.0,0.1930296249187405,AIAR,121,1,PVQR,"['AIMR', 'AIAR']"
3,6646982,0.0,0.9236585121948546,AIAR,121,1,PVQL,"['AWAL', 'AIAR']"
4,6375401,0.0062846100054243,0.9414622825817132,AIAR,121,1,AWCL,"['ASER', 'AIBR', 'AIAR']"
5,6375397,0.0,0.9047792137492232,AIAR,121,1,AWCL,"['AIAR', 'AIBR']"
6,6375396,0.0,0.7224147952872437,AIAR,121,1,AWCL,"['AIAR', 'AIBR']"
7,6375394,0.0,0.4834952680627761,AIAR,121,1,AWCL,"['AWCR', 'AIAR']"
8,6375360,0.0,0.7224147952872437,AIAR,121,1,AWAR,"['AIAR', 'AWBR', 'AIZR']"
9,6375359,0.0,0.8882595827509439,AIAR,121,1,AWAR,"['AIAR', 'ASJR']"
10,6375140,0.0119901442725218,0.5763208844410376,AIAR,121,1,ASKR,['AIAR']
11,6375138,0.0255283586907834,0.9414622825817132,AIAR,121,1,ASKR,['AIAR']
12,6375137,0.0333560086209955,0.9414622825817132,AIAR,121,1,ASKR,['AIAR']
13,6375136,0.0,0.5624742878468519,AIAR,121,1,ASKR,"['AIMR', 'AIAR']"
14,6375135,0.0,0.5624742878468519,AIAR,121,1,ASKR,['AIAR']
15,6375134,0.0,0.5100836838242789,AIAR,121,1,ASKR,['AIAR']
16,6375116,0.0,0.8915822586934962,AIAR,121,1,ASJR,"['ASKR', 'AWAR', 'AIAR', 'PVQR']"
17,6375093,0.0,0.929187360439381,AIAR,121,1,ASIR,"['AIAR', 'AWCL']"
18,6375073,0.0,0.4773614861573345,AIAR,121,1,ASHR,['AIAR']
19,6375065,0.0,0.4423864646913068,AIAR,121,1,ASHR,"['AIBR', 'AIAR']"
20,6375061,0.0,0.3170618349416952,AIAR,121,1,ASHR,"['AIAR', 'AIBR']"
21,6375041,0.0,0.3125577842286225,AIAR,121,1,ASGR,"['AIAR', 'AWCR']"
22,6375040,0.0,0.4834952680627761,AIAR,121,1,ASGR,"['AIAR', 'AIMR']"
23,6375038,0.0,0.1786300106935991,AIAR,121,1,ASGR,"['AIMR', 'AIAR']"
24,6374893,0.0,0.3401266934210836,AIAR,121,1,AIMR,['AIAR']
25,6374889,0.0,0.3125577842286225,AIAR,121,1,AIMR,"['AIAR', 'ASGR']"
26,6374886,0.0,0.3228802750933592,AIAR,121,1,AIMR,"['AIAR', 'ASGR']"
27,6374885,0.0,0.5369315442822815,AIAR,121,1,AIMR,"['ASKR', 'AIAR']"
28,6374830,0.0,0.857965176401029,AIAR,121,0,AIAR,"['AIBR', 'ASKR']"
29,6374829,0.0,0.8915822586934962,AIAR,121,0,AIAR,"['AIBR', 'AWCL']"
30,6374827,0.0302428499280595,0.9414622825817132,AIAR,121,0,AIAR,"['AWCL', 'AIBR']"
31,6374823,0.0,0.5535003322326002,AIAR,121,0,AIAR,"['ASKR', 'AIBR']"
32,6374819,0.0,0.4834952680627761,AIAR,121,0,AIAR,"['ASHR', 'ADAR', 'AIBR']"
33,6374818,0.0,0.2497869887226106,AIAR,121,0,AIAR,"['ASKR', 'RIFR']"
34,6374815,0.0,0.2563923621635045,AIAR,121,0,AIAR,"['RIFR', 'AIBR']"
35,6374778,0.0054487442570613,0.5763208844410376,AIAR,121,1,ADLR,['AIAR']
36,6374770,0.0,0.8557434261007445,AIAR,121,1,ADLR,"['ASKR', 'AIAR']"
37,6374769,0.0357016489461488,0.9414622825817132,AIAR,121,1,ADLR,"['AIAR', 'AIBR']"
0,6375056,0.0,0.2004319139841097,AIBL,121,1,ASHL,"['AIBL', 'ASKL']"
1,9652673,0.0,0.5312840793913126,AIBL,121,1,AIZR,"['AIBL', 'RIMR']"
2,9652672,0.0,0.519033347447907,AIBL,121,1,AIZR,"['AIBL', 'RIMR']"
3,9652671,0.0,0.5130369487601067,AIBL,121,1,AIZR,"['AIBL', 'RIMR']"
4,6647300,0.0,0.7134097174038848,AIBL,121,1,RIMR,"['AIBL', 'AVBL']"
5,6647298,0.0,0.7066047393944723,AIBL,121,1,RIMR,"['AIBL', 'RIBR']"
6,6647297,0.0382050468361226,0.7335770365502478,AIBL,121,1,RIMR,"['AIBL', 'AVBL', 'RIBR']"
