,dist_from_root,length,project,leafnode,n_synapse
77,0.3465781202178115,0.07731655236471592,N2 dauer (Stigloher2),8961711,6
78,0.3493493779613973,0.05080332265757223,TEM adult,8144407,2
79,0.35233291529749217,0.08431739438908063,L3,7059065,9
80,0.35400903244980386,0.04151319517802381,L1 5hr,9569870,2
81,0.35521286453962614,0.08434907426552735,daf-2 dauer,10581961,9
82,0.3573465345888143,0.05019922277173856,daf-2 dauer,10639248,6
83,0.40105434012539143,0.09809706542904124,L1 0hr,6833224,2
84,0.4029686834358944,0.011911249952330354,daf-2 dauer,10639397,1
85,0.41337624390539895,0.013077065137442528,N2 dauer (Stigloher2),9010204,0
86,0.41629667136436627,0.014563551267084914,N2 dauer (Stigloher2),8951219,2
87,0.4203337353412299,0.013210664516162507,N2 dauer (Stigloher2),9010406,1
88,0.4221975404010206,0.07100244513791494,daf-2 dauer,10639224,5
89,0.42678560898724605,0.02943106051990486,N2 dauer (Stigloher2),8961587,1
90,0.4283563021143486,0.02221917034574751,N2 dauer (Stigloher3),9593636,0
91,0.4307922941626628,0.06575045392899183,N2 dauer (Stigloher3),16680497,0
92,0.43160376652518007,0.05226459554132619,N2 dauer (Stigloher3),16678246,0
93,0.43205544896616155,0.07407753737401071,N2 dauer (Stigloher3),9494196,2
94,0.4369718116750508,0.05296951989242569,L1 5hr,9583231,2
95,0.4527635934560623,0.06663132568698589,N2 dauer (Stigloher3),9521520,1
96,0.4631129975252639,0.018896985349797942,N2 dauer (Stigloher2),8961602,0
97,0.4761294039028765,0.048413528780765505,N2 dauer (Stigloher2),8961620,2
98,0.49010493576720177,0.040598402793285394,N2 dauer (Stigloher2),8785086,0
99,0.4955885895310727,0.014382824826969946,N2 dauer (Stigloher2),8785081,0
100,0.5161661989984624,0.0026917961513391315,N2 dauer (Stigloher2),8965753,0
101,0.5265446267196529,0.0015789923483106253,N2 dauer (Stigloher2),8965749,0
102,0.5531612231752112,0.012269814836540556,N2 dauer (Stigloher2),8965747,0
103,0.5580134533942842,0.015534873412836764,SEM adult,8407155,0
104,0.5616285265657943,0.006558156175955679,N2 dauer (Stigloher2),8965738,0
105,0.5651845518236613,0.02760668595781341,N2 dauer (Stigloher2),8785071,0
106,0.579322822652158,0.022405139194022587,N2 dauer (Stigloher3),9516884,0
107,0.5885995582287666,0.047596678716760855,TEM adult,8145377,4
108,0.5897816978476221,0.030343563227555864,L3,7086422,3
109,0.5987872256084767,0.027556249805146676,SEM adult,8406729,1
110,0.6193627453746556,0.006771601313889024,N2 dauer (Stigloher3),9597198,0
111,0.6336264405789197,0.1157679623855584,L1 0hr,6661615,3
112,0.6338954285619837,0.042163520234520704,L1 8hr,6331377,2
113,0.6355852794180228,0.05781120023254764,L1 5hr,9569858,3
114,0.6426154884504185,0.02058108077221394,N2 dauer (Stigloher2),8785055,0
115,0.6475468430375114,0.041667085108289766,SEM adult,8393073,0
116,0.6534672601128712,0.03794560378984157,SEM adult,8392750,4
117,0.653936464080575,0.10759537360530695,L1 5hr,9569830,7
118,0.6606519103026826,0.0990196004018239,L1 0hr,6661732,1
119,0.6689740079781887,0.03390987528085335,L1 5hr,9569819,0
120,0.6763582131069147,0.03200223166600044,TEM adult,8144458,0
121,0.6819480437551801,0.07028000675775471,L3,7059105,5
122,0.6838540601614718,0.1291237497402584,L1 16hr,4271216,51
123,0.6854810177392691,0.1350848188851754,TEM adult,8145300,36
124,0.6865921791600375,0.05386672307651654,SEM adult,8407142,9
125,0.6867263233644523,0.01742608140036855,daf-2 dauer,10582064,2
126,0.6893616435102761,0.07148453095098996,L2,4828319,3
127,0.6974929592201187,0.0349298256227682,daf-2 dauer,10639111,2
128,0.6979518649135945,0.033584030773599,L1 8hr,6331535,1
129,0.7035602658428748,0.0232277836918276,N2 dauer (Stigloher3),9516875,0
130,0.717301060741086,0.027102693638159956,L1 0hr,6661723,0
131,0.7193655387909985,0.122467479833702,L3,7086391,14
132,0.7206322100995531,0.03095859391535508,N2 dauer (Stigloher3),16680308,0
133,0.720855012281638,0.11662235500393177,L2,4828371,18
134,0.7215970679777041,0.049896076456382,SEM adult,8406813,8
135,0.7218613103634398,0.048720285501698615,L3,7086366,1
136,0.7242430029379736,0.07025809021277023,SEM adult,8407103,6
137,0.7250984607338538,0.09512671178941386,daf-2 dauer,10582223,8
138,0.7279507280620243,0.06363683279610062,L1 8hr,6331527,0
139,0.7319470834612023,0.03397307629841156,L1 8hr,6335691,0
140,0.733322317021838,0.04884241692647136,L1 0hr,6661656,0
141,0.7344339845480927,0.10500935861584038,L1 16hr,4271344,14
142,0.7409802265869219,0.07873921726291734,L1 8hr,6335682,1
143,0.7410207755610543,0.14053973399414083,daf-2 dauer,10582180,19
144,0.7436664851625003,0.1417284863327776,L1 8hr,6331520,14
145,0.7455339291055924,0.07291737104577706,SEM adult,8393056,14
146,0.7469247424916785,0.04980332350106923,L1 5hr,9569811,0
147,0.7528543521857297,0.037051891951288614,TEM adult,8145258,3
148,0.7540996174231069,0.06535713777133305,SEM adult,8392809,9
149,0.754164507883306,0.056864387662918084,TEM adult,8144689,3
150,0.7556098720248233,0.14191736962728072,L1 5hr,9583201,9
151,0.7571679704048413,0.06397138010305123,L3,7086359,2
152,0.7627767176742415,0.07527277784594937,daf-2 dauer,10639548,9
153,0.7634150892081062,0.09327398895359754,L2,4828439,5
154,0.7640962986823767,0.11991679027303744,L3,7059164,20
155,0.7645037554369177,0.15334374679188995,L1 8hr,6335665,16
156,0.7675580743310166,0.03425030423222519,SEM adult,8406837,1
157,0.772403360696571,0.10469116113644965,daf-2 dauer,10639442,8
158,0.7740189023062911,0.10520798068473594,SEM adult,8407058,20
159,0.7760637006160178,0.06875542394248287,SEM adult,8393011,5
160,0.777837026365781,0.09698346297056688,N2 dauer (Stigloher2),8761386,11
161,0.7779866709231708,0.04094433307263483,L1 16hr,4271265,3
162,0.7782195829140856,0.023485358501816683,SEM adult,8462590,0
163,0.7802927154518823,0.07284938547115775,N2 dauer (Stigloher3),9525669,12
164,0.7812393543976965,0.040271055681665835,L3,7086346,0
165,0.78247720070241,0.038946659520459385,L3,7059177,1
166,0.7862379052263744,0.10840462532895354,N2 dauer (Stigloher3),16680422,4
167,0.7894020900388372,0.16994633143722446,TEM adult,8144546,21
168,0.7896035464182276,0.08468898502973335,daf-2 dauer,10639529,19
169,0.7907384154111926,0.05575421459984952,N2 dauer (Stigloher2),8761403,0
170,0.7931313374938322,0.02639681635632451,N2 dauer (Stigloher3),16680285,0
171,0.7949626405604621,0.13674949908704068,L1 0hr,6833201,3
172,0.8013578381861282,0.10476544213745427,N2 dauer (Stigloher2),8660720,9
173,0.806696845216714,0.06365632781512029,N2 dauer (Stigloher3),9584248,2
174,0.8068417576513784,0.0733460906872115,L3,7059205,1
175,0.8090221749599464,0.10103668696131322,N2 dauer (Stigloher3),9516542,4
176,0.8118357722992029,0.07285679696001902,N2 dauer (Stigloher2),8761398,0
177,0.8122395543517098,0.028935968921344406,L1 5hr,9569762,0
178,0.8131489445265675,0.12861719713709704,L2,4937274,23
179,0.816267377992942,0.10471338297556466,L1 0hr,6833176,1
180,0.8162884114109715,0.03367293232413013,SEM adult,8392984,8
181,0.8174948385900332,0.09327069732507348,daf-2 dauer,10582146,3
182,0.8182140828242832,0.18038392051497712,L1 5hr,9583170,2
183,0.8219249812049427,0.047025344191754255,L1 16hr,4347725,15
184,0.8222566061504627,0.04267369931968918,N2 dauer (Stigloher3),16679567,0
185,0.8246573098614199,0.027325465982627844,N2 dauer (Stigloher3),9601684,1
186,0.8277284683270162,0.08038907604978167,N2 dauer (Stigloher3),16680588,3
187,0.8278506265836632,0.04216878719919746,daf-2 dauer,10639500,1
188,0.8286414356097482,0.057382727526092,L3,7059223,6
189,0.8288092158132583,0.0826773036914967,TEM adult,8144669,15
190,0.8319806763754939,0.042120718114537235,N2 dauer (Stigloher3),9594109,0
191,0.838673278821855,0.05301865511803183,L2,4937295,0
192,0.8396794860279563,0.07446197363547348,N2 dauer (Stigloher2),8966230,1
193,0.84221031497133,0.12720863892678724,L1 0hr,6833132,3
194,0.8436396590627457,0.06513829468653304,TEM adult,8145175,10
195,0.8436507123307532,0.056491260771625786,N2 dauer (Stigloher3),9529405,2
196,0.8436677452380165,0.039583770185774005,N2 dauer (Stigloher2),8761414,1
197,0.843997372585834,0.11185822642928879,L1 16hr,4347739,3
198,0.8503188176018335,0.06257519303787051,L1 8hr,6331453,2
199,0.8506473886817035,0.1175737551768282,L1 16hr,4347801,16
200,0.8508647531078157,0.02092735016884627,L1 16hr,4271332,0
201,0.8518648734673275,0.023965719440975874,N2 dauer (Stigloher2),8660512,0
202,0.856696010676629,0.06706886797643305,N2 dauer (Stigloher3),9528499,1
203,0.8571890712201252,0.04737931621630467,N2 dauer (Stigloher2),8761306,2
204,0.8575934778891996,0.05885024739719844,L3,7086328,2
205,0.8582099900078629,0.010245050109104318,daf-2 dauer,10582130,0
206,0.8592987977629573,0.031885403389290565,L2,4937301,0
207,0.8693082041447141,0.03772872566921137,daf-2 dauer,10582127,0
208,0.8705577917189172,0.08330349474699325,L1 8hr,6335615,1
209,0.8757340297510023,0.03922468103206003,L2,4937364,1
210,0.8873259245048676,0.007491758904648168,N2 dauer (Stigloher3),9527555,0
